id_ligne,id_commande,id_produit,quantite,prix_unitaire
111,10492,139,2,925.04
112,4596,209,1,574.86
113,9665,113,3,856.15
114,1923,357,2,1305.13
115,15679,37,3,1548.86
116,4895,456,3,1967.05
117,6229,407,1,952.26
118,1410,312,1,830.61
119,10983,347,4,1123.58
120,17482,127,1,1267.5
121,11966,124,1,65.41
122,6106,84,3,1231.21
123,5356,378,4,1537.54
124,9033,301,4,873.02
125,9232,225,5,1411.94
126,15190,32,4,626.19
127,14363,334,4,1710.43
128,9519,145,2,255.19
129,16590,212,2,213.62
130,1213,239,1,293.29
131,15080,269,1,985.93
132,1304,375,1,645.87
133,1202,56,2,1692.07
134,9645,430,3,382.65
135,17161,395,1,1726.43
136,12188,201,5,855.0
137,9743,483,2,510.8
138,3434,58,5,974.28
139,15807,158,5,280.21
140,648,14,3,90.0
141,8395,300,1,512.91
142,1791,337,1,376.5
143,14396,87,2,1998.56
144,2340,375,3,645.87
145,18679,89,1,1664.5
146,9281,292,5,1463.01
147,6816,9,4,462.17
148,9476,29,3,1819.06
149,2805,67,1,1000.62
150,1934,235,1,1099.36
151,8995,351,2,929.74
152,2459,15,3,807.58
153,12140,403,1,443.32
154,7112,46,3,1092.03
155,17112,263,4,925.28
156,18011,163,1,1069.42
157,12683,213,1,1576.62
158,14112,228,3,1288.58
159,3794,137,1,1691.09
160,8680,268,2,1270.69
161,11324,480,1,1909.64
162,10884,207,1,843.8
163,18574,180,1,1309.54
164,8711,369,2,505.76
165,15003,243,1,1626.41
166,5115,34,3,259.88
167,7548,277,4,785.92
168,3764,54,3,1725.07
169,4004,61,1,1726.6
170,14236,90,4,1623.29
171,3153,132,2,466.78
172,12118,316,2,135.61
173,8627,58,1,974.28
174,12875,54,4,1725.07
175,10670,6,3,1333.11
176,16349,96,3,1355.5
177,11396,111,1,1518.75
178,1181,255,2,1248.19
179,16360,460,1,697.49
180,6125,75,1,611.62
181,14376,75,3,611.62
182,1044,280,3,248.56
183,10515,417,2,1822.04
184,9852,475,1,718.32
185,17983,265,4,1624.96
186,1130,379,5,685.86
187,14042,346,5,1874.22
188,4206,163,2,1069.42
189,7694,209,1,574.86
190,3249,345,1,1782.98
191,19082,377,5,489.71
192,18845,122,1,1777.28
193,19359,51,3,1396.79
194,1931,14,5,90.0
195,16551,59,2,373.91
196,14801,483,1,510.8
197,19243,70,2,87.09
198,16920,267,4,370.74
199,10024,376,1,1630.28
200,10992,364,5,599.6
201,8418,319,2,1702.69
202,11664,136,2,1974.56
203,9761,363,3,1829.15
204,1441,77,4,478.42
205,13972,134,2,95.67
206,15703,125,5,1240.28
207,14205,321,5,1825.77
208,12902,431,4,246.0
209,9125,281,1,151.8
210,2721,20,3,1049.67
211,2297,488,2,580.13
212,18532,328,2,423.78
213,15347,76,3,720.5
214,6194,10,4,680.18
215,16146,242,4,225.43
216,16930,120,4,1809.9
217,14927,235,5,1099.36
218,2184,6,4,1333.11
219,100,262,2,591.97
220,8240,492,1,1532.63
221,16493,313,2,69.29
222,11748,43,2,1935.1
223,6259,381,1,1955.62
224,11648,233,5,1361.78
225,5847,29,5,1819.06
226,5908,344,2,822.0
227,14165,198,1,164.88
228,12694,330,2,1845.98
229,530,43,4,1935.1
230,4949,302,3,1299.08
231,3839,348,2,625.34
232,12497,330,4,1845.98
233,1899,452,5,73.36
234,13713,487,5,606.44
235,13870,398,1,808.54
236,2866,436,1,471.52
237,18176,139,1,925.04
238,7844,320,1,432.18
239,18612,93,4,1987.64
240,12815,460,4,697.49
241,7090,388,4,384.28
242,677,397,5,1096.08
243,13679,118,2,1964.79
244,7162,418,5,286.4
245,19515,332,3,1589.7
246,1444,201,4,855.0
247,13252,330,4,1845.98
248,14032,5,3,1275.3
249,11608,11,5,1116.95
250,869,333,1,153.86
251,11134,426,1,1357.08
252,19937,28,5,616.87
253,7148,23,4,1525.16
254,6122,185,1,1067.42
255,19351,390,5,102.34
256,1169,180,3,1309.54
257,14126,476,3,155.44
258,10212,410,1,1245.4
259,19171,294,3,298.98
260,2213,433,2,201.29
261,8561,109,4,568.73
262,2158,201,1,855.0
263,12184,7,2,1329.54
264,19538,326,5,1762.86
265,19990,496,1,551.72
266,14426,205,1,800.84
267,19047,61,5,1726.6
268,3591,380,3,1581.45
269,17584,108,4,609.18
270,16165,268,3,1270.69
271,19986,8,2,1897.47
272,4389,429,1,968.04
273,14743,227,3,1240.37
274,18465,427,1,949.65
275,3897,393,4,186.46
276,14269,225,3,1411.94
277,12169,12,1,230.47
278,9145,97,4,1608.02
279,11109,329,2,670.01
280,3448,171,4,1167.47
281,11614,331,2,418.75
282,5812,318,3,1776.5
283,1719,367,5,1737.66
284,8120,422,5,102.1
285,12900,19,2,750.14
286,19112,31,2,1691.0
287,13911,254,3,1702.95
288,18194,220,4,1215.84
289,11799,452,4,73.36
290,15466,488,3,580.13
291,6665,396,3,356.22
292,2458,455,3,851.64
293,8138,133,4,658.89
294,9322,104,5,1311.83
295,4478,255,1,1248.19
296,16978,54,2,1725.07
297,1859,235,5,1099.36
298,1467,391,1,1827.12
299,6799,253,5,1767.96
300,2917,439,1,1216.5
301,3791,2,2,778.44
302,4696,411,1,535.81
303,16476,78,2,1714.23
304,8425,465,1,91.37
305,13272,5,5,1275.3
306,806,296,4,1188.15
307,11387,251,5,300.08
308,17524,413,3,236.29
309,3729,454,4,769.51
310,13061,44,5,410.92
311,606,256,4,53.81
312,8544,160,3,770.2
313,19636,25,3,128.85
314,7320,402,5,445.8
315,9468,382,4,1278.19
316,2455,223,2,364.76
317,4101,354,2,911.29
318,15278,354,4,911.29
319,4334,221,1,1692.76
320,612,175,3,1535.27
321,1233,87,4,1998.56
322,634,382,2,1278.19
323,17145,333,3,153.86
324,13510,183,3,425.23
325,19161,73,1,1264.26
326,17381,301,3,873.02
327,12553,277,5,785.92
328,13131,463,3,1046.5
329,18879,460,2,697.49
330,6291,343,5,1795.03
331,14739,141,3,1152.91
332,6233,449,5,1880.9
333,2078,273,1,1063.37
334,5775,120,5,1809.9
335,9635,285,4,1765.88
336,13456,44,3,410.92
337,9951,131,2,1064.92
338,7360,343,4,1795.03
339,7598,194,1,551.5
340,2030,263,3,925.28
341,14365,174,2,1535.8
342,15331,309,3,1401.78
343,14510,201,2,855.0
344,3431,271,2,531.95
345,8354,93,5,1987.64
346,526,7,2,1329.54
347,9356,478,5,677.19
348,5438,329,4,670.01
349,17604,480,3,1909.64
350,5147,434,2,349.32
351,9680,205,1,800.84
352,10399,36,2,743.14
353,3650,387,4,1296.06
354,16120,207,1,843.8
355,17140,477,5,1235.72
356,13399,23,1,1525.16
357,647,194,4,551.5
358,10399,259,5,287.35
359,14608,258,2,1696.47
360,10173,67,3,1000.62
361,13814,185,5,1067.42
362,4286,387,5,1296.06
363,7161,286,3,712.25
364,8210,360,1,433.46
365,9849,370,3,1527.36
366,11035,10,2,680.18
367,18818,282,4,236.87
368,6346,270,2,1604.58
369,8316,194,4,551.5
370,19749,387,1,1296.06
371,17144,62,3,442.61
372,9641,311,5,1624.18
373,12823,23,2,1525.16
374,19826,365,4,1894.34
375,10838,116,2,1551.8
376,18216,364,2,599.6
377,2515,177,2,1609.63
378,727,246,1,63.91
379,15280,457,5,1592.96
380,3422,317,1,435.76
381,9552,362,5,1426.0
382,16260,265,4,1624.96
383,750,39,3,1583.05
384,2036,264,2,429.49
385,7824,477,3,1235.72
386,10445,37,2,1548.86
387,19864,271,2,531.95
388,19756,331,3,418.75
389,11373,140,1,933.64
390,16645,107,2,1677.89
391,16259,287,5,1058.57
392,3541,156,4,297.89
393,10079,75,3,611.62
394,775,235,3,1099.36
395,7287,270,2,1604.58
396,1502,421,2,454.38
397,19492,183,1,425.23
398,1819,227,5,1240.37
399,14019,229,4,529.56
400,10910,172,1,1805.56
401,1133,398,3,808.54
402,6230,498,3,1231.75
403,15866,408,4,611.43
404,1955,334,2,1710.43
405,12861,440,4,1545.87
406,6848,112,4,1585.07
407,2227,138,2,741.22
408,8297,242,3,225.43
409,2771,183,1,425.23
410,14240,377,2,489.71
411,4910,316,3,135.61
412,14311,213,1,1576.62
413,9020,261,2,1773.41
414,8665,335,2,458.01
415,13651,155,5,1656.43
416,11208,39,4,1583.05
417,17285,83,4,301.74
418,11852,382,4,1278.19
419,15535,104,1,1311.83
420,12676,35,3,234.24
421,12813,16,1,1311.98
422,16142,343,3,1795.03
423,2818,305,4,1153.89
424,10046,14,1,90.0
425,2013,423,5,720.13
426,5082,168,4,470.38
427,16737,405,2,1624.75
428,10816,475,5,718.32
429,13980,425,2,273.63
430,14619,267,2,370.74
431,18248,243,4,1626.41
432,15681,196,3,406.2
433,8543,1,2,100.63
434,7354,153,4,1022.71
435,3979,145,3,255.19
436,3752,454,2,769.51
437,14802,140,1,933.64
438,4185,273,2,1063.37
439,13702,420,3,849.69
440,14141,494,3,1529.77
441,5926,292,2,1463.01
442,12335,246,3,63.91
443,12731,92,4,1145.86
444,12119,390,3,102.34
445,11176,346,3,1874.22
446,455,120,3,1809.9
447,19142,325,5,1885.27
448,18757,127,5,1267.5
449,14711,185,5,1067.42
450,11732,169,2,288.54
451,13085,337,3,376.5
452,5555,93,1,1987.64
453,18953,135,4,554.45
454,1102,170,3,1747.33
455,8519,254,4,1702.95
456,11733,259,2,287.35
457,20000,339,1,399.05
458,2231,484,5,1463.73
459,15352,198,5,164.88
460,5387,428,4,1331.19
461,2046,140,2,933.64
462,16759,277,3,785.92
463,4809,444,5,480.11
464,14770,33,3,199.24
465,16965,120,3,1809.9
466,8734,116,1,1551.8
467,4308,422,5,102.1
468,15275,461,2,181.65
469,17994,163,3,1069.42
470,8858,447,2,1146.01
471,9185,32,2,626.19
472,8505,420,5,849.69
473,243,155,4,1656.43
474,16894,269,4,985.93
475,18284,326,5,1762.86
476,1533,277,4,785.92
477,13126,103,3,1478.48
478,5705,250,2,1152.02
479,10071,225,4,1411.94
480,3395,58,3,974.28
481,14596,282,4,236.87
482,6342,246,5,63.91
483,2788,175,4,1535.27
484,4018,430,4,382.65
485,5140,34,4,259.88
486,6935,194,4,551.5
487,2812,121,5,1946.69
488,16229,102,1,1430.92
489,9561,11,2,1116.95
490,2470,292,1,1463.01
491,13036,218,4,1323.46
492,3942,218,2,1323.46
493,10182,383,4,1169.06
494,17877,268,5,1270.69
495,14143,246,4,63.91
496,5646,480,1,1909.64
497,16457,71,2,1128.85
498,10225,238,5,748.03
499,5943,65,3,1704.8
500,16189,208,5,844.61
501,13881,226,1,1997.7
502,14938,53,4,422.06
503,14521,48,3,947.32
504,17001,341,5,573.25
505,11774,236,5,110.35
506,4619,171,4,1167.47
507,17590,190,2,674.84
508,6301,490,3,786.55
509,4959,306,5,634.28
510,1808,14,5,90.0
511,6197,150,1,920.02
512,7298,398,4,808.54
513,7838,129,3,1767.9
514,8828,66,3,1475.6
515,15674,427,1,949.65
516,2146,178,3,805.11
517,16971,96,2,1355.5
518,2170,286,1,712.25
519,18540,171,1,1167.47
520,14570,48,5,947.32
521,64,231,1,80.96
522,14248,234,4,1795.77
523,14007,500,5,351.71
524,6470,424,1,823.51
525,6866,50,4,1635.61
526,9757,161,2,1712.02
527,18139,101,2,1826.42
528,13116,456,3,1967.05
529,5288,179,3,1104.94
530,266,438,2,1396.18
531,11821,126,2,920.07
532,5729,418,1,286.4
533,1084,52,2,220.89
534,11053,486,3,394.05
535,13222,231,3,80.96
536,19522,36,3,743.14
537,18984,302,5,1299.08
538,11737,435,5,472.51
539,14713,242,1,225.43
540,7618,49,4,1465.53
541,62,185,4,1067.42
542,17461,337,2,376.5
543,12115,283,2,1735.94
544,6115,22,1,1147.96
545,8709,411,2,535.81
546,10806,157,3,1937.66
547,12726,412,2,942.76
548,12978,448,4,453.88
549,16722,264,2,429.49
550,14318,257,4,1715.03
551,7710,215,3,1098.19
552,10221,369,3,505.76
553,18991,260,1,1016.37
554,995,339,4,399.05
555,6357,385,2,1092.26
556,13518,441,4,1822.07
557,6321,290,2,1813.52
558,889,194,1,551.5
559,9004,72,5,1783.82
560,9652,76,5,720.5
561,19983,443,2,707.38
562,2503,46,5,1092.03
563,5732,137,4,1691.09
564,8607,490,2,786.55
565,11181,26,4,1369.06
566,19729,340,4,1404.29
567,17744,461,2,181.65
568,1959,295,5,1050.6
569,6785,258,4,1696.47
570,4404,448,1,453.88
571,3094,71,1,1128.85
572,7063,262,2,591.97
573,19401,315,5,908.8
574,6291,301,5,873.02
575,1342,54,3,1725.07
576,85,400,3,1644.9
577,11449,482,3,388.67
578,16059,219,1,167.34
579,14241,287,1,1058.57
580,12723,263,1,925.28
581,7782,20,3,1049.67
582,1010,4,3,1669.86
583,8851,446,4,1049.38
584,17066,9,1,462.17
585,6573,61,3,1726.6
586,6922,470,2,514.22
587,13641,1,3,100.63
588,16175,135,2,554.45
589,6088,53,1,422.06
590,3923,466,3,510.97
591,8719,295,3,1050.6
592,4262,296,1,1188.15
593,15532,305,1,1153.89
594,19541,195,5,1106.47
595,1547,309,1,1401.78
596,7699,195,3,1106.47
597,2155,251,4,300.08
598,10388,489,5,1904.48
599,4222,10,3,680.18
600,18808,155,5,1656.43
601,6685,403,4,443.32
602,822,462,5,1828.6
603,895,456,1,1967.05
604,13781,423,5,720.13
605,446,55,1,1314.82
606,11152,458,2,541.28
607,13644,10,5,680.18
608,12616,150,2,920.02
609,19939,154,3,1393.58
610,6410,336,3,1592.44
611,19916,253,2,1767.96
612,4133,31,1,1691.0
613,19117,212,1,213.62
614,3819,191,2,1008.37
615,10970,104,1,1311.83
616,11758,113,2,856.15
617,11269,495,4,1097.54
618,5662,475,3,718.32
619,18370,280,5,248.56
620,17679,9,3,462.17
621,19528,254,1,1702.95
622,8675,211,3,644.0
623,18068,453,3,479.19
624,10575,183,1,425.23
625,13256,292,2,1463.01
626,5341,368,3,1460.5
627,1036,432,3,1092.57
628,14761,388,3,384.28
629,3269,42,5,1266.43
630,6713,190,2,674.84
631,18574,51,1,1396.79
632,7683,263,5,925.28
633,2412,356,4,1693.08
634,13120,255,4,1248.19
635,871,320,3,432.18
636,5085,38,5,1494.01
637,10888,347,5,1123.58
638,12411,272,1,1919.67
639,8558,356,2,1693.08
640,19861,134,2,95.67
641,19331,8,1,1897.47
642,16869,347,5,1123.58
643,19234,74,3,1410.15
644,17690,425,3,273.63
645,15862,264,2,429.49
646,19948,367,5,1737.66
647,1478,99,4,1656.04
648,777,110,4,1277.41
649,15450,106,1,1940.79
650,5027,27,3,1078.19
651,18081,405,5,1624.75
652,13419,291,3,549.76
653,17019,182,2,1308.06
654,2017,234,3,1795.77
655,17056,235,5,1099.36
656,2545,412,2,942.76
657,8400,500,1,351.71
658,19416,179,1,1104.94
659,8972,8,3,1897.47
660,1878,381,1,1955.62
661,18139,52,2,220.89
662,12658,39,4,1583.05
663,1098,2,1,778.44
664,9049,264,3,429.49
665,9976,373,1,905.43
666,4430,350,2,1048.91
667,8220,260,1,1016.37
668,276,448,5,453.88
669,9320,348,3,625.34
670,5421,163,3,1069.42
671,8160,359,5,124.65
672,12622,75,3,611.62
673,11834,221,1,1692.76
674,8899,138,1,741.22
675,5092,340,5,1404.29
676,17763,229,1,529.56
677,2054,467,1,1258.54
678,6251,339,2,399.05
679,3971,171,2,1167.47
680,19295,131,1,1064.92
681,16262,413,4,236.29
682,3592,57,1,217.88
683,10090,264,2,429.49
684,5163,129,1,1767.9
685,19626,208,3,844.61
686,4441,477,4,1235.72
687,2504,68,1,1202.53
688,12715,419,4,1523.02
689,18468,153,5,1022.71
690,2885,470,1,514.22
691,61,40,1,212.42
692,5397,364,2,599.6
693,7185,357,1,1305.13
694,4017,215,4,1098.19
695,18996,423,4,720.13
696,11052,189,4,916.25
697,15228,464,2,1195.56
698,6120,114,5,1906.09
699,6297,199,5,102.98
700,10074,51,3,1396.79
701,7893,158,3,280.21
702,12881,457,2,1592.96
703,5742,411,5,535.81
704,742,384,4,448.2
705,8646,340,5,1404.29
706,1828,161,2,1712.02
707,16792,346,5,1874.22
708,447,176,5,1739.37
709,12033,4,5,1669.86
710,8859,83,5,301.74
711,2251,224,5,186.37
712,7584,204,2,511.16
713,10858,488,4,580.13
714,16117,92,1,1145.86
715,862,359,5,124.65
716,16072,95,4,1797.82
717,9395,489,1,1904.48
718,1652,427,3,949.65
719,19104,41,3,1195.06
720,15092,464,5,1195.56
721,16677,383,1,1169.06
722,12227,174,3,1535.8
723,2985,283,3,1735.94
724,19430,183,3,425.23
725,5488,319,4,1702.69
726,8389,127,3,1267.5
727,4606,71,1,1128.85
728,15857,102,2,1430.92
729,18078,157,2,1937.66
730,8667,398,5,808.54
731,15714,475,2,718.32
732,18564,274,1,1562.71
733,5312,12,2,230.47
734,2493,330,4,1845.98
735,5648,197,3,648.25
736,3486,335,2,458.01
737,8609,75,1,611.62
738,10236,321,3,1825.77
739,16078,265,1,1624.96
740,8003,55,3,1314.82
741,11892,491,4,874.26
742,4496,370,3,1527.36
743,7443,32,2,626.19
744,1982,453,2,479.19
745,9196,436,1,471.52
746,7197,9,1,462.17
747,3787,58,2,974.28
748,2160,145,4,255.19
749,9908,427,3,949.65
750,6060,43,3,1935.1
751,8138,239,4,293.29
752,16456,348,1,625.34
753,12168,172,5,1805.56
754,4526,379,2,685.86
755,15677,495,4,1097.54
756,772,483,2,510.8
757,14006,28,3,616.87
758,18461,239,4,293.29
759,15501,314,5,1131.65
760,16979,480,4,1909.64
761,6024,180,4,1309.54
762,19388,224,3,186.37
763,2552,33,2,199.24
764,11393,8,4,1897.47
765,14237,403,3,443.32
766,12463,232,2,1237.13
767,14655,362,4,1426.0
768,6226,112,5,1585.07
769,13464,260,1,1016.37
770,1313,227,1,1240.37
771,3473,316,3,135.61
772,16355,161,1,1712.02
773,11672,326,2,1762.86
774,4199,24,1,413.39
775,2165,74,4,1410.15
776,270,375,3,645.87
777,4666,66,3,1475.6
778,18676,372,2,886.15
779,7716,333,2,153.86
780,6889,392,5,451.49
781,2809,414,3,1776.81
782,7612,109,1,568.73
783,13314,459,1,682.49
784,14136,208,5,844.61
785,15456,158,3,280.21
786,13544,299,4,1059.48
787,1300,250,1,1152.02
788,3671,310,5,465.62
789,19007,170,1,1747.33
790,3603,61,3,1726.6
791,16191,280,4,248.56
792,4207,123,5,1457.02
793,1968,468,2,780.32
794,16211,61,3,1726.6
795,12090,480,5,1909.64
796,13129,6,2,1333.11
797,13184,155,2,1656.43
798,6889,207,2,843.8
799,9907,174,5,1535.8
800,17621,370,3,1527.36
801,12332,380,5,1581.45
802,6767,229,1,529.56
803,9213,237,5,738.34
804,16282,178,1,805.11
805,17012,344,1,822.0
806,11698,331,4,418.75
807,2146,35,4,234.24
808,17322,133,3,658.89
809,9146,26,1,1369.06
810,5117,376,4,1630.28
811,8535,397,5,1096.08
812,19739,131,2,1064.92
813,9050,158,2,280.21
814,14470,312,2,830.61
815,13305,200,4,810.38
816,1710,147,3,241.08
817,17654,387,4,1296.06
818,15026,60,1,1929.54
819,17648,269,1,985.93
820,13341,35,5,234.24
821,5532,379,4,685.86
822,14436,331,2,418.75
823,9695,422,4,102.1
824,15193,148,5,209.8
825,13685,225,5,1411.94
826,9558,192,2,902.18
827,15166,459,2,682.49
828,7942,329,1,670.01
829,16925,425,5,273.63
830,3427,163,4,1069.42
831,16237,168,3,470.38
832,3962,420,2,849.69
833,10982,142,3,505.98
834,11257,339,4,399.05
835,19569,234,1,1795.77
836,15083,308,1,477.84
837,15604,458,4,541.28
838,1812,427,3,949.65
839,12232,173,2,1677.2
840,879,11,1,1116.95
841,15891,101,1,1826.42
842,8592,54,2,1725.07
843,15426,89,3,1664.5
844,19260,90,1,1623.29
845,6011,295,5,1050.6
846,11711,196,4,406.2
847,4168,133,1,658.89
848,12017,188,3,1584.18
849,5328,168,1,470.38
850,16321,241,3,1528.92
851,17426,182,4,1308.06
852,10510,80,4,1674.51
853,10094,468,2,780.32
854,8837,111,4,1518.75
855,10087,80,5,1674.51
856,4432,401,2,1227.23
857,776,95,2,1797.82
858,1681,141,1,1152.91
859,116,215,3,1098.19
860,18706,208,1,844.61
861,14995,83,4,301.74
862,11157,81,1,1609.52
863,3502,371,3,1594.23
864,16828,237,4,738.34
865,1544,319,4,1702.69
866,14792,487,2,606.44
867,14390,88,3,746.24
868,1100,29,5,1819.06
869,7820,83,1,301.74
870,18775,176,4,1739.37
871,6394,405,2,1624.75
872,1941,192,1,902.18
873,13844,373,3,905.43
874,1366,204,5,511.16
875,12723,467,1,1258.54
876,11004,469,5,345.76
877,17035,130,3,1098.0
878,11510,65,2,1704.8
879,13007,129,5,1767.9
880,8664,37,1,1548.86
881,894,410,1,1245.4
882,5592,17,5,632.17
883,18669,193,4,1726.31
884,13236,383,1,1169.06
885,9748,30,4,339.78
886,4712,126,2,920.07
887,3166,429,3,968.04
888,3927,357,4,1305.13
889,10324,64,5,1279.3
890,12331,243,5,1626.41
891,5860,456,5,1967.05
892,13361,15,3,807.58
893,17139,221,3,1692.76
894,7680,42,3,1266.43
895,6941,139,2,925.04
896,5882,17,4,632.17
897,1530,462,3,1828.6
898,7111,41,1,1195.06
899,14924,235,2,1099.36
900,5439,74,5,1410.15
901,15296,130,5,1098.0
902,19578,446,3,1049.38
903,16603,291,2,549.76
904,13115,250,3,1152.02
905,5387,277,4,785.92
906,1081,43,4,1935.1
907,12842,454,4,769.51
908,17361,231,2,80.96
909,16472,391,5,1827.12
910,1880,61,1,1726.6
911,2089,413,2,236.29
912,1085,335,3,458.01
913,5641,352,5,766.65
914,4929,484,2,1463.73
915,17355,114,3,1906.09
916,5388,76,2,720.5
917,15253,253,3,1767.96
918,1450,139,3,925.04
919,17180,411,1,535.81
920,13027,335,2,458.01
921,6132,136,3,1974.56
922,18031,349,5,498.85
923,13079,282,3,236.87
924,13428,18,3,1812.28
925,3593,475,2,718.32
926,13701,54,4,1725.07
927,12008,167,3,144.87
928,4254,240,5,916.93
929,8115,101,5,1826.42
930,18705,241,1,1528.92
931,4335,62,3,442.61
932,12481,40,4,212.42
933,1141,160,4,770.2
934,12454,38,1,1494.01
935,4877,495,5,1097.54
936,14001,339,3,399.05
937,8636,151,1,835.37
938,19235,384,1,448.2
939,8690,102,4,1430.92
940,15235,444,1,480.11
941,5471,317,4,435.76
942,15021,474,1,1513.57
943,10819,6,2,1333.11
944,10532,212,2,213.62
945,7788,487,4,606.44
946,6123,386,3,261.84
947,13009,342,3,1316.99
948,10666,414,4,1776.81
949,315,151,5,835.37
950,11708,447,1,1146.01
951,2787,300,5,512.91
952,1028,467,4,1258.54
953,10494,386,4,261.84
954,7711,91,2,272.24
955,13247,249,5,1336.68
956,2336,390,1,102.34
957,2522,417,4,1822.04
958,16669,173,1,1677.2
959,5889,178,5,805.11
960,5616,349,4,498.85
961,5851,408,5,611.43
962,2529,208,5,844.61
963,9542,484,2,1463.73
964,4779,67,5,1000.62
965,4655,474,3,1513.57
966,8086,280,3,248.56
967,2317,283,4,1735.94
968,10825,405,4,1624.75
969,12789,45,4,1749.65
970,13279,192,4,902.18
971,5302,82,3,454.06
972,11929,431,5,246.0
973,17055,442,2,81.27
974,14287,222,1,1689.33
975,16373,300,5,512.91
976,7088,121,3,1946.69
977,1562,264,2,429.49
978,6374,242,5,225.43
979,7149,201,1,855.0
980,11524,427,5,949.65
981,5981,437,4,1299.97
982,13588,268,4,1270.69
983,12536,330,5,1845.98
984,774,278,1,170.9
985,15773,302,3,1299.08
986,13667,172,2,1805.56
987,1667,13,1,518.16
988,6109,416,2,1349.98
989,15878,187,1,400.5
990,6610,355,4,750.23
991,517,144,4,1442.98
992,188,317,2,435.76
993,18361,19,2,750.14
994,7279,232,1,1237.13
995,8680,73,1,1264.26
996,7076,412,4,942.76
997,9460,231,2,80.96
998,16346,424,5,823.51
999,7461,297,2,337.45
1000,4715,351,4,929.74
1001,16493,319,3,1702.69
1002,18697,168,3,470.38
1003,5171,256,4,53.81
1004,4128,313,2,69.29
1005,8079,482,4,388.67
1006,18813,447,5,1146.01
1007,7022,73,3,1264.26
1008,976,348,4,625.34
1009,5698,409,5,1415.62
1010,2801,401,5,1227.23
1011,11326,314,5,1131.65
1012,3435,323,4,1875.42
1013,2468,341,5,573.25
1014,835,302,5,1299.08
1015,1010,308,5,477.84
1016,18393,371,1,1594.23
1017,8611,10,5,680.18
1018,6812,119,4,169.86
1019,5800,225,2,1411.94
1020,8805,399,3,1747.38
1021,10791,425,2,273.63
1022,6085,248,3,1013.32
1023,19736,133,2,658.89
1024,12770,251,2,300.08
1025,4387,354,4,911.29
1026,5881,95,2,1797.82
1027,3340,410,3,1245.4
1028,11414,122,2,1777.28
1029,10489,26,1,1369.06
1030,12857,317,5,435.76
1031,6148,398,2,808.54
1032,18570,478,4,677.19
1033,8311,186,1,1798.89
1034,2797,361,4,640.3
